X10_NTHREADS:4
X10_NPLACES:1
Place(0) running on 4693@Archlinux, finishCount:0, totalCount:40000
working...(6,12), at Place(0), workerId:6, result:6, cost time:0ms
working...(15,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,11), at Place(0), workerId:6, result:6, cost time:0ms
working...(15,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,7), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,8), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,9), at Place(0), workerId:5, result:0, cost time:0ms
working...(1,10), at Place(0), workerId:1, result:9, cost time:0ms
working...(15,10), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,11), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,12), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,13), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,14), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,13), at Place(0), workerId:1, result:5, cost time:0ms
working...(15,15), at Place(0), workerId:5, result:0, cost time:0ms
working...(0,10), at Place(0), workerId:3, result:10, cost time:0ms
working...(7,13), at Place(0), workerId:6, result:4, cost time:0ms
working...(16,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(13,14), at Place(0), workerId:1, result:1, cost time:0ms
working...(16,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(16,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,12), at Place(0), workerId:1, result:7, cost time:1ms
working...(6,13), at Place(0), workerId:3, result:5, cost time:1ms
working...(16,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,13), at Place(0), workerId:6, result:8, cost time:0ms
working...(4,11), at Place(0), workerId:1, result:7, cost time:0ms
working...(14,15), at Place(0), workerId:3, result:1, cost time:0ms
working...(4,12), at Place(0), workerId:6, result:8, cost time:0ms
working...(16,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(16,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(3,11), at Place(0), workerId:6, result:8, cost time:0ms
working...(12,14), at Place(0), workerId:3, result:2, cost time:0ms
working...(16,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(13,15), at Place(0), workerId:6, result:2, cost time:0ms
working...(16,7), at Place(0), workerId:5, result:0, cost time:0ms
working...(16,8), at Place(0), workerId:5, result:0, cost time:0ms
working...(16,9), at Place(0), workerId:5, result:0, cost time:0ms
working...(16,10), at Place(0), workerId:5, result:0, cost time:0ms
working...(16,11), at Place(0), workerId:5, result:0, cost time:0ms
working...(4,13), at Place(0), workerId:3, result:9, cost time:0ms
working...(16,12), at Place(0), workerId:5, result:0, cost time:0ms
working...(16,13), at Place(0), workerId:5, result:0, cost time:0ms
working...(16,14), at Place(0), workerId:5, result:0, cost time:0ms
working...(3,12), at Place(0), workerId:3, result:9, cost time:0ms
working...(16,15), at Place(0), workerId:5, result:0, cost time:0ms
working...(16,16), at Place(0), workerId:5, result:0, cost time:0ms
working...(3,13), at Place(0), workerId:1, result:10, cost time:0ms
working...(15,16), at Place(0), workerId:6, result:1, cost time:0ms
working...(11,14), at Place(0), workerId:3, result:3, cost time:0ms
working...(17,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(17,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(10,14), at Place(0), workerId:6, result:4, cost time:0ms
working...(17,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(17,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(17,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(17,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(17,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,11), at Place(0), workerId:3, result:9, cost time:0ms
working...(14,16), at Place(0), workerId:1, result:2, cost time:0ms
working...(17,7), at Place(0), workerId:5, result:0, cost time:0ms
working...(12,15), at Place(0), workerId:3, result:3, cost time:0ms
working...(9,14), at Place(0), workerId:1, result:5, cost time:0ms
working...(17,8), at Place(0), workerId:5, result:0, cost time:0ms
working...(13,16), at Place(0), workerId:6, result:3, cost time:0ms
working...(2,12), at Place(0), workerId:1, result:10, cost time:0ms
working...(17,9), at Place(0), workerId:5, result:0, cost time:0ms
working...(17,10), at Place(0), workerId:5, result:0, cost time:0ms
working...(1,11), at Place(0), workerId:1, result:10, cost time:0ms
working...(1,12), at Place(0), workerId:6, result:11, cost time:0ms
working...(17,11), at Place(0), workerId:5, result:0, cost time:0ms
working...(12,16), at Place(0), workerId:3, result:4, cost time:0ms
working...(17,12), at Place(0), workerId:5, result:0, cost time:0ms
working...(0,11), at Place(0), workerId:1, result:11, cost time:0ms
working...(11,15), at Place(0), workerId:3, result:4, cost time:0ms
working...(0,12), at Place(0), workerId:6, result:12, cost time:0ms
working...(17,13), at Place(0), workerId:5, result:0, cost time:0ms
working...(17,14), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,14), at Place(0), workerId:3, result:6, cost time:0ms
working...(17,15), at Place(0), workerId:5, result:0, cost time:0ms
working...(7,14), at Place(0), workerId:6, result:7, cost time:0ms
working...(11,16), at Place(0), workerId:1, result:5, cost time:0ms
working...(17,16), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,13), at Place(0), workerId:3, result:11, cost time:0ms
working...(6,14), at Place(0), workerId:6, result:8, cost time:0ms
working...(10,15), at Place(0), workerId:1, result:5, cost time:0ms
working...(1,13), at Place(0), workerId:6, result:10, cost time:0ms
working...(17,17), at Place(0), workerId:5, result:0, cost time:0ms
working...(18,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(18,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(18,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,14), at Place(0), workerId:1, result:9, cost time:0ms
working...(18,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(18,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(10,16), at Place(0), workerId:1, result:6, cost time:0ms
working...(18,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(4,14), at Place(0), workerId:3, result:10, cost time:0ms
working...(3,14), at Place(0), workerId:6, result:11, cost time:0ms
working...(18,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(9,15), at Place(0), workerId:1, result:6, cost time:0ms
working...(18,7), at Place(0), workerId:5, result:0, cost time:0ms
working...(18,8), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,14), at Place(0), workerId:3, result:12, cost time:0ms
working...(1,14), at Place(0), workerId:6, result:13, cost time:0ms
working...(16,17), at Place(0), workerId:1, result:1, cost time:0ms
working...(18,9), at Place(0), workerId:5, result:0, cost time:0ms
